1,2,3,4,5,6,7,8
"(1, 0.8963192847686717)","(2, 0.8406700179073572)","(3, 0.599047108795209)","(4, 0.5823077138415967)","(5, 0.4424173557435599)","(6, 0.2899576666172119)","(7, 0.2472808881648243)","(8, 0.1727199960243984)"
"(1, 0.9006546333880723)","(2, 0.6839117238318149)","(3, 0.7457032996297481)","(4, 0.5536451668300272)","(5, 0.5169397035808398)","(6, 0.3037059226218122)","(7, 0.2096579421677114)","(8, 0.166686220852335)"
"(1, 0.9255566384445684)","(2, 0.6975554613120606)","(3, 0.6958035093277394)","(4, 0.5780201735250364)","(5, 0.4552555030249801)","(6, 0.2800344226001014)","(7, 0.1985715577680592)","(8, 0.1476171390220808)"
"(1, 0.849843464457102)","(2, 0.8362534794767182)","(3, 0.5743536456931578)","(4, 0.5704043722062808)","(5, 0.4988786255451614)","(6, 0.3559672315675855)","(7, 0.268901001708307)","(8, 0.1434851595827678)"
"(1, 0.9386451191508808)","(2, 0.7423605597669873)","(3, 0.6646902000408167)","(4, 0.594093790382635)","(5, 0.4466320551241314)","(6, 0.3381760984474857)","(7, 0.2080449015080228)","(8, 0.0785271318631301)"
"(1, 0.8727606844545772)","(2, 0.8208991025834036)","(3, 0.6308223506221922)","(4, 0.6122888186087339)","(5, 0.4937599477478402)","(6, 0.3627967934006404)","(7, 0.1582234447110304)","(8, 0.0913635451004248)"
"(1, 0.8632206164390338)","(2, 0.7797026903008578)","(3, 0.6670748197670816)","(4, 0.6307526419855165)","(5, 0.3852464084527777)","(6, 0.3282439931887623)","(7, 0.1801955139359116)","(8, 0.1167740804414031)"
"(1, 0.9402931142310303)","(2, 0.8283419156381953)","(3, 0.6994881371237427)","(4, 0.5572798237076135)","(5, 0.399317167131211)","(6, 0.2347381376695973)","(7, 0.1611309600598134)","(8, 0.1608479811944224)"
"(1, 0.929084236243434)","(2, 0.8057341018229951)","(3, 0.6964251886668553)","(4, 0.4974020544215088)","(5, 0.5274630258551096)","(6, 0.3086587121313381)","(7, 0.3030612010608594)","(8, 0.0095178631705955)"
"(1, 0.9320877227193936)","(2, 0.6899378169045436)","(3, 0.763082100233281)","(4, 0.6403886581467444)","(5, 0.360312697944235)","(6, 0.2674643486927019)","(7, 0.2001742207745151)","(8, 0.1829490515026119)"
