1,2,3,4,5,6,7
"(1, 0.8117073834982856)","(2, 0.8971651292111846)","(3, 0.7371097261464614)","(4, 0.2096244119776034)","(5, 0.1020856478375162)","(6, 0.2612023408484091)","(7, 0.2887650308771078)"
"(1, 0.8924893443929206)","(2, 0.7796377340493633)","(3, 0.777889443863202)","(4, 0.1308599195697939)","(5, 0.1231312435677183)","(6, 0.2861658855344145)","(7, 0.260528471207591)"
"(1, 0.7847870323095604)","(2, 0.8023514264649215)","(3, 0.8328577227262548)","(4, 0.1466836332935961)","(5, 0.2128379743822072)","(6, 0.1334666909355489)","(7, 0.2107839615066762)"
"(1, 0.8075020947529511)","(2, 0.922568655351748)","(3, 0.8427390742186245)","(4, 0.190014813361994)","(5, 0.1667662594970035)","(6, 0.3285967680040529)","(7, 0.2445301804695118)"
"(1, 0.8025273832379922)","(2, 0.9137322927775324)","(3, 0.818318591424367)","(4, 0.1315591378574575)","(5, 0.140373872074287)","(6, 0.3225072893861906)","(7, 0.2972188308360542)"
"(1, 0.8821314566713752)","(2, 0.801325919296975)","(3, 0.7519024585054379)","(4, 0.1230947269716558)","(5, 0.1555349894171627)","(6, 0.1552784787784688)","(7, 0.2600158316745643)"
"(1, 0.8041283389865381)","(2, 0.8540317336209144)","(3, 0.8533055217745774)","(4, 0.1191985965947097)","(5, 0.1143398698358313)","(6, 0.2773299366533676)","(7, 0.2945855478178543)"
"(1, 0.8307119855711966)","(2, 0.8333235993170512)","(3, 0.9074230023998034)","(4, 0.1769341675220566)","(5, 0.1231625179004352)","(6, 0.2151297947233)","(7, 0.2081803776498596)"
"(1, 0.9176927826482568)","(2, 0.8161223921036999)","(3, 0.7551624104644228)","(4, 0.2129370362691446)","(5, 0.1700056616733652)","(6, 0.2925468222819658)","(7, 0.1761582729615942)"
"(1, 0.9142952790821252)","(2, 0.7849080049777565)","(3, 0.9130125776014868)","(4, 0.2025288135092644)","(5, 0.1337004211372019)","(6, 0.3156140542102282)","(7, 0.290846603185487)"
"(1, 0.8416681322495891)","(2, 0.7868018392721613)","(3, 0.9211104628558872)","(4, 0.1857049929562145)","(5, 0.143899517857298)","(6, 0.1547560909436278)","(7, 0.2218413529618383)"
"(1, 0.856167059633252)","(2, 0.8875044758927773)","(3, 0.8081213795616241)","(4, 0.2603024248151393)","(5, 0.168165631439598)","(6, 0.2630995351690229)","(7, 0.1850463955122889)"
"(1, 0.821334260246042)","(2, 0.7932993442084808)","(3, 0.796279589430868)","(4, 0.1371620957634091)","(5, 0.0993460704332873)","(6, 0.235217167419127)","(7, 0.19298020798065)"
"(1, 0.8007024762190543)","(2, 0.7908670979459366)","(3, 0.8565745654121509)","(4, 0.2969460567899694)","(5, 0.1705100305863892)","(6, 0.168973507462459)","(7, 0.2815136321650981)"
