1,2,3,4,5,6,7,8
"(1, 0.5472979484849717)","(2, 0.4309403883887358)","(3, 0.375813083267343)","(4, 0.3090252126188129)","(5, 0.763573643320397)","(6, 0.419771142019241)","(7, 0.2644686103252687)","(8, 0.1761131297916612)"
"(1, 0.5401049647448141)","(2, 0.3542736903200537)","(3, 0.3125821595589926)","(4, 0.3269182908253898)","(5, 0.6638312123644716)","(6, 0.3825067407157104)","(7, 0.1511225129266847)","(8, 0.1076461614530847)"
"(1, 0.6840792841701)","(2, 0.2870540654800992)","(3, 0.3663230980484487)","(4, 0.3913556194138376)","(5, 0.6963213916430898)","(6, 0.2887311568663619)","(7, 0.2256007013116471)","(8, 0.1999310237966048)"
"(1, 0.676954146172243)","(2, 0.2754841118816051)","(3, 0.3806672164242351)","(4, 0.4695308936022229)","(5, 0.7827492307674702)","(6, 0.3448056439790438)","(7, 0.3042863049196823)","(8, 0.045927140464234)"
"(1, 0.672533726097496)","(2, 0.370095109063049)","(3, 0.4372056286907076)","(4, 0.4901586105655209)","(5, 0.7745252899032969)","(6, 0.335417750874446)","(7, 0.1390102506806046)","(8, 0.0751824974843073)"
"(1, 0.7016148833635502)","(2, 0.2965400426502255)","(3, 0.3313429092513685)","(4, 0.4593246042445612)","(5, 0.6980911637828161)","(6, 0.42204020130819)","(7, 0.2890827195435627)","(8, 0.0750555771670167)"
"(1, 0.7361110705234726)","(2, 0.3461177109694862)","(3, 0.3468794903498604)","(4, 0.4038050241064065)","(5, 0.7856261368080688)","(6, 0.2804734484208684)","(7, 0.2899239649638612)","(8, 0.0375017155348622)"
"(1, 0.7246905899950276)","(2, 0.340921713336132)","(3, 0.3747465065608801)","(4, 0.3082439254859125)","(5, 0.6932309601881985)","(6, 0.3819523083883778)","(7, 0.1740950849368514)","(8, 0.0975466910771866)"
"(1, 0.5568064867802731)","(2, 0.3375908515838164)","(3, 0.3310135976799463)","(4, 0.345494460828219)","(5, 0.7561500290832701)","(6, 0.3617891141262888)","(7, 0.1775802207792523)","(8, 0.1571011035814714)"
"(1, 0.5334904847381821)","(2, 0.3294569465919017)","(3, 0.3014668738229663)","(4, 0.3224596752869111)","(5, 0.7308355583928056)","(6, 0.3155044907721533)","(7, 0.2233886056779775)","(8, 0.0934376363878331)"
"(1, 0.6352709143883093)","(2, 0.285763306821605)","(3, 0.3470325414008964)","(4, 0.3991872370036026)","(5, 0.7681019223097808)","(6, 0.4277333380133137)","(7, 0.1567351139724191)","(8, 0.1924535867026698)"
